product_id,product_name,product_name_toLowerCase,supermarket,category_1,category_2,category_3,category_4,price,price_bs,stock
60006604,"DETERGENTE LIQUIDO ARIEL 1,8 LT","detergente liquido ariel 1,8 lt",1,Limpieza,Cuidado de prendas,Detergente,Detergente líquido,17.95,1778.67,280
60000480,BLAN-CLORO 1 LT,blan-cloro 1 lt,1,Limpieza,Cuidado de prendas,Blanqueador y cloro,,3.96,392.40,4
60006594,SUPER CLORO BONCLOR 1 LT,super cloro bonclor 1 lt,1,Limpieza,Cuidado de prendas,Blanqueador y cloro,,2.05,203.13,1
60005848,CLORO BLANQUEADOR FRESH CLEAN CAROL 1 L,cloro blanqueador fresh clean carol 1 l,1,Limpieza,Cuidado de prendas,Blanqueador y cloro,,2.64,261.60,3
60007079,SUAVIZANTE FLORAL DOWNY 1400 CC,suavizante floral downy 1400 cc,1,Limpieza,Cuidado de prendas,Suavizante,,8.39,831.37,196
60007055,SUAVIZANTE AMANECER DOWNY 700 ML,suavizante amanecer downy 700 ml,1,Limpieza,Cuidado de prendas,Suavizante,,4.38,434.01,191
60005971,CLORO JABONOSO BLEACH FIT 1 LT,cloro jabonoso bleach fit 1 lt,1,Limpieza,Cuidado de prendas,Blanqueador y cloro,,3.05,302.22,57
60006310,DETERGENTE LIQUIDO PARA ROPA FIT 1 LT,detergente liquido para ropa fit 1 lt,1,Limpieza,Cuidado de prendas,Detergente,Detergente líquido,6.99,692.64,52
60005421,LEJIA CON ESPUMA KRIS 1 LT,lejia con espuma kris 1 lt,1,Limpieza,Cuidado de prendas,Blanqueador y cloro,,2.25,222.95,237
60005133,CLORO NATURAL KRIS 1 LT,cloro natural kris 1 lt,1,Limpieza,Cuidado de prendas,Blanqueador y cloro,,2.25,222.95,654
60004674,PANELA LAS LLAVES FRESCA FRAGANCIA 160 gr,panela las llaves fresca fragancia 160 gr,1,Limpieza,Cuidado de prendas,Detergente,Detergente en polvo y panela,0.77,76.30,520
60002633,DETERGENTE EN POLVO LIMON LAS LLAVES 900 GR,detergente en polvo limon las llaves 900 gr,1,Limpieza,Cuidado de prendas,Detergente,Detergente en polvo y panela,3,297.27,245
60002353,DETERGENTE EN POLVO LAS LLAVES FLORAL 900 GR,detergente en polvo las llaves floral 900 gr,1,Limpieza,Cuidado de prendas,Detergente,Detergente en polvo y panela,3,297.27,591
60000906,PANELA FLORAL LAS LLAVES 250 GR,panela floral las llaves 250 gr,1,Limpieza,Cuidado de prendas,Detergente,Detergente en polvo y panela,1.19,117.92,812
60006386,JABON PANELA TRADICIONAL FLORAL LAS LLAVES 200 GR,jabon panela tradicional floral las llaves 200 gr,1,Limpieza,Cuidado de prendas,Detergente,Detergente en polvo y panela,0.95,94.14,274
60004373,DETERGENTE EN POLVO BEBE LAS LLAVES 900 GR,detergente en polvo bebe las llaves 900 gr,1,Limpieza,Cuidado de prendas,Detergente,Detergente en polvo y panela,3,297.27,483
60006593,DETERGENTE EN POLVO REGULAR MULTI CLEAN 900 GR,detergente en polvo regular multi clean 900 gr,1,Limpieza,Cuidado de prendas,Detergente,Detergente en polvo y panela,2.75,272.50,394
60003183,CLORO REGULAR NEVEX ULTRA 1 L,cloro regular nevex ultra 1 l,1,Limpieza,Cuidado de prendas,Blanqueador y cloro,,3.55,351.77,65
60003185,CLORO ULTRA LIMON NEVEX 1 LT,cloro ultra limon nevex 1 lt,1,Limpieza,Cuidado de prendas,Blanqueador y cloro,,3.79,375.55,64
60004146,CLORO ULTRA NEVEX AROMA BEBÉ 1 LT,cloro ultra nevex aroma bebé 1 lt,1,Limpieza,Cuidado de prendas,Blanqueador y cloro,,3.79,375.55,36
60006923,DETERGENTE EN POLVO OXY 1 KG,detergente en polvo oxy 1 kg,1,Limpieza,Cuidado de prendas,Detergente,Detergente en polvo y panela,3.39,335.92,125
60004246,SUAVIZANTE BABY SUAVITEL 1.9 LT,suavizante baby suavitel 1.9 lt,1,Limpieza,Cuidado de prendas,Suavizante,,8.99,890.82,50
60006346,SUAVIZANTE FRESCA PRIMAVERA SUAVITEL 1 LT,suavizante fresca primavera suavitel 1 lt,1,Limpieza,Cuidado de prendas,Suavizante,,4.99,494.46,39
60007004,SUAVIZANTE BABY SUAVITEL 1 LT,suavizante baby suavitel 1 lt,1,Limpieza,Cuidado de prendas,Suavizante,,4.29,425.10,39
60005021,SUAVIZANTE FRESCA PRIMAVERA SUAVITEL 2 L,suavizante fresca primavera suavitel 2 l,1,Limpieza,Cuidado de prendas,Suavizante,,7.45,738.22,133
60007156,SUAVIZANTE CUIDADO SUPERIOR SUAVITEL 970 ML,suavizante cuidado superior suavitel 970 ml,1,Limpieza,Cuidado de prendas,Suavizante,,4.99,494.46,47
60004393,SUAVIZANTE VAINILLA CUIDADO SUPERIOR SUAVITEL 1.9 LT,suavizante vainilla cuidado superior suavitel 1.9 lt,1,Limpieza,Cuidado de prendas,Suavizante,,8.99,890.82,23
60004386,SUAVIZANTE SUAVITEL FRESCA PRIMAVERA 1 LT,suavizante suavitel fresca primavera 1 lt,1,Limpieza,Cuidado de prendas,Suavizante,,4.25,421.13,328
60005744,DETERGENTE LÍQUIDO LIMÓN VALE 1 LT,detergente líquido limón vale 1 lt,1,Limpieza,Cuidado de prendas,Detergente,Detergente líquido,5.75,569.77,41
60005743,DETERGENTE VALE LIQUIDO DE BEBE 1 LT,detergente vale liquido de bebe 1 lt,1,Limpieza,Cuidado de prendas,Detergente,Detergente líquido,5.75,569.77,51
60007085,QUITA MANCHA GEL SIN CLORO ROSA VANISH 900 ML,quita mancha gel sin cloro rosa vanish 900 ml,1,Limpieza,Cuidado de prendas,Blanqueador y cloro,,11.34,1123.68,56
60004213,QUITAMANCHAS LÍQUIDO PARA ROPA BLANCA VANISH 900 ML,quitamanchas líquido para ropa blanca vanish 900 ml,1,Limpieza,Cuidado de prendas,Blanqueador y cloro,,11.34,1123.68,26
60006125,QUITAMANCHAS EN POLVO ROSA DOYPACK VANISH 450 GR,quitamanchas en polvo rosa doypack vanish 450 gr,1,Limpieza,Cuidado de prendas,Blanqueador y cloro,,18.99,1881.72,7
60006124,QUITAMANCHAS EN POLVO BLANCO DOYPACK VANISH 450 GR,quitamanchas en polvo blanco doypack vanish 450 gr,1,Limpieza,Cuidado de prendas,Blanqueador y cloro,,18.99,1881.72,13
60006574,DETERGENTE LIQUIDO VEL ROSA 1 LT,detergente liquido vel rosa 1 lt,1,Limpieza,Cuidado de prendas,Detergente,Detergente líquido,9.65,956.22,76
60001223,SPRAY HEAVY ORGINAL NIAGARA 567 GR,spray heavy orginal niagara 567 gr,1,Limpieza,Cuidado de prendas,Planchado,,11.09,1098.91,21
